Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Selfomy,Private,For Profit,11-50,Pre-Seed,2017-12-01,2013-10-20,day,Active,2.0,2.0,880.0,880.0,963.0,963.0,Nga Le,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Education, Information Technology, Software","EdTech, Education, Information Technology","Ho Chi Minh City, NA - Vietnam, Vietnam"
Clutch,Private,For Profit,1-10,Pre-Seed,2021-09-27,2021-01-01,year,Active,2.0,1.0,965.0,965.0,965.0,965.0,"PSV, David Helgason, Crowberry Capital, Heini Zachariassen",4.0,"European Union (EU), Nordic Countries, Scandinavia","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Sports","Artificial Intelligence (AI), Software, Sports","Copenhagen, Hovedstaden, Denmark"
Pomona S Enterprises,Private,For Profit,1-10,Seed,2024-07-22,2023-12-04,day,Active,6.0,1.0,1000.0,1000.0,1000.0,1000.0,Government of India,1.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Hardware, Health Care, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Food and Beverage, Food Processing, Machine Learning, Manufacturing, Pharmaceutical, Textiles","Mumbai, Maharashtra, India"
The Facilities Group,Private,For Profit,10001+,Private Equity,2022-02-08,2020-01-01,month,Active,1.0,3.0,0.0,0.0,1000.0,1000.0,"Greenbriar Equity Group, Morgan Stanley Private Credit, Revolent Capital Solutions",3.0,"Tampa Bay Area, East Coast, Southern US","Administrative Services, Real Estate","Building Maintenance, Facilities Support Services, Facility Management, Janitorial Service","Tampa, Florida, United States"
DTonomy,Private,For Profit,11-50,Non-equity Assistance,2021-06-28,2018-01-01,year,Active,2.0,2.0,0.0,1000.0,1000.0,1000.0,MassChallenge,1.0,"Greater Boston Area, East Coast, New England","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Software","Cambridge, Massachusetts, United States"
Nerve Global,Private,For Profit,1-10,Grant,2021-10-14,2019-01-01,day,Active,3.0,3.0,7500.0,1000.0,1000.0,12500.0,The Graph,1.0,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Financial Services, Internet Services, Media and Entertainment, Other","Blockchain, FinTech, Social Media","Mahé, Beau Vallon, Seychelles"
Groovetime,Private,For Profit,1-10,Seed,2021-07-01,2020-01-03,day,Active,1.0,1.0,1000.0,1000.0,1000.0,1000.0,"Alumni Ventures, Learn Capital, Goodwater Capital, Green D Ventures",4.0,"San Francisco Bay Area, West Coast, Western US","Apps, Content and Publishing, Media and Entertainment, Mobile, Software, Video","Mobile Apps, Video, Video Editing","San Francisco, California, United States"
siswapay,Private,For Profit,1-10,Pre-Seed,2023-07-17,2023-01-01,year,Active,1.0,1.0,1000.0,1000.0,1000.0,1000.0,Randy Aries Saputra,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Apps, Commerce and Shopping, Financial Services, Mobile, Payments, Software","Consumer Applications, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments, Personal Finance","Jakarta, Jakarta Raya, Indonesia"
Teleperson,Private,For Profit,1-10,Seed,2023-06-20,2020-07-17,day,Active,3.0,2.0,0.0,0.0,1000.0,1000.0,XRC Ventures,1.0,"Greater Miami Area, East Coast, Southern US","Administrative Services, Apps, Financial Services, Mobile, Other, Payments, Professional Services, Software","Call Center, Customer Service, Mobile Apps, Mobile Payments","Boynton Beach, Florida, United States"
SUPERSTARS CAPITAL,Private,For Profit,1-10,Seed,2024-06-04,2024-01-02,day,Active,1.0,1.0,1000.0,1000.0,1000.0,1000.0,"Hesham Zreik, Bashar Hamood, FasterCapital",3.0,"Europe, Middle East, and Africa (EMEA)",Financial Services,Finance,"Johannesburg, NA - South Africa, South Africa"
