Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Shot Scope,Private,For Profit,11-50,Series B,2024-07-31,2013-01-01,year,Active,1.0,8.0,8443752.0,8443752.0,16899662.0,20048997.0,"PwC, Virgin Money, Scottish Enterprise, Growthdeck, Guinness Ventures",9.0,"Europe, Middle East, and Africa (EMEA)","Apps, Consumer Electronics, Hardware, Mobile, Other, Professional Services, Software, Sports","Customer Service, Golf, Mobile Apps, Software, Sports, Wearables","Edinburgh, Edinburgh, City of, United Kingdom"
GrowSari,Private,For Profit,251-500,Venture - Series Unknown,2024-08-05,2016-01-01,year,Active,4.0,6.0,5000000.0,5000000.0,96500000.0,96500000.0,"Tencent, International Finance Corporation, Kohlberg Kravis Roberts, Wavemaker Partners, Saison Capital",13.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Commerce and Shopping, Other","B2B, E-Commerce, Retail","Pasig, Rizal, Philippines"
Balbix,Private,For Profit,101-250,Series C,2022-03-01,2015-01-01,year,Active,1.0,3.0,70000000.0,70000000.0,101600000.0,101600000.0,"Mayfield Fund, Mubadala Capital Ventures, Third Point Ventures, Singtel Innov8, Redline Capital",14.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Security, Cyber Security, Network Security","San Jose, California, United States"
OLIPOP,Private,For Profit,51-100,Series B,2022-02-01,2017-01-01,year,Active,2.0,5.0,30000000.0,30000000.0,42500000.0,43500000.0,"Collaborative Fund, Dwight Funding, Monogram Capital Partners, Boulder Food Group ('BFG'), Melitas Ventures",43.0,"San Francisco Bay Area, West Coast, Western US","Food and Beverage, Health Care","Food and Beverage, Health Care","Oakland, California, United States"
ArborXR,Private,For Profit,51-100,Series A,2024-08-13,2016-01-01,year,Active,3.0,2.0,12000000.0,12000000.0,12000000.0,12000000.0,"Mercury, Cortado Ventures, Impact Venture Capital, Eagle Venture Fund, Lewis & Clark Ventures",5.0,Southern US,"Hardware, Software","Augmented Reality, Software, Virtual Reality","Norman, Oklahoma, United States"
Hapana,Private,For Profit,51-100,Series A,2024-08-12,2012-11-30,day,Active,2.0,4.0,17300000.0,17300000.0,17300000.0,17300000.0,"OIF Ventures, Bailador Technology Investments, Riverside Acceleration Capital, Lewis Bloch",4.0,"Asia-Pacific (APAC), Australasia","Information Technology, Sales and Marketing, Software, Sports","CRM, Fitness, Software","Sydney, New South Wales, Australia"
Greenely,Private,For Profit,11-50,Series A,2024-07-26,2014-01-01,year,Active,3.0,8.0,8317188.0,8317188.0,15143425.0,15900855.0,"Crowdcube, Silicon Valley Bank, Korys, Luminar Ventures, KTH Holding",7.0,"European Union (EU), Nordic Countries, Scandinavia","Energy, Other, Software, Sustainability","B2C, CleanTech, Energy, Energy Management, Software, Sustainability","Stockholm, Stockholms Lan, Sweden"
CoreWeave,Private,For Profit,501-1000,Debt Financing,2024-05-17,2017-01-01,year,Active,3.0,10.0,7500000000.0,1100000000.0,1526500000.0,12118500000.0,"NVIDIA, Fidelity, BlackRock, The Carlyle Group, Nat Friedman",22.0,"Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Information Technology, Machine Learning","Roseland, New Jersey, United States"
Nala,Private,For Profit,11-50,Series A,2024-07-09,2017-01-01,year,Active,1.0,5.0,40000000.0,40000000.0,50200000.0,50210000.0,"Accel, Y Combinator, Digital Currency Group, Bessemer Venture Partners, VentureSouq",26.0,"Europe, Middle East, and Africa (EMEA)","Financial Services, Mobile, Payments, Software","Finance, Financial Services, FinTech, Mobile Payments","Nairobi, Nairobi Area, Kenya"
Thought Machine,Private,For Profit,501-1000,Series D,2022-05-18,2014-01-01,year,Active,2.0,6.0,160000000.0,160000000.0,562754986.0,562754986.0,"Morgan Stanley, JP Morgan Chase, Eurazeo, Intesa Sanpaolo, Molten Ventures",16.0,"Europe, Middle East, and Africa (EMEA)","Financial Services, Information Technology, Lending and Investments, Software","Banking, Enterprise Software, Financial Services, FinTech, IT Infrastructure","London, England, United Kingdom"
Intelmatix,Private,For Profit,11-50,Series A,2024-07-31,2021-01-01,year,Active,3.0,2.0,20000000.0,20000000.0,20000000.0,20000000.0,"Zain Ventures, Shorooq Partners, STV, Saudi Venture Capital Company, The Olayan Group",8.0,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software","Riyadh, Ar Riyad, Saudi Arabia"
Buyers Edge Platform,Private,For Profit,1001-5000,Private Equity,2024-04-08,1998-01-01,year,Active,1.0,2.0,425000000.0,425000000.0,425000000.0,425000000.0,"Bregal Sagemount, General Atlantic, Blackstone Tactical Opportunities, Morgan Stanley Tactical Value",4.0,"Greater Boston Area, East Coast, New England","Food and Beverage, Software, Transportation, Travel and Tourism","Food Delivery, Hospitality, SaaS, Software, Supply Chain Management","Waltham, Massachusetts, United States"
SigTuple,Private,For Profit,101-250,Series C,2024-08-06,2015-07-24,day,Active,4.0,8.0,3935111.0,3935111.0,48920981.0,48920981.0,"Accel, Chiratae Ventures, Venture Highway, Trifecta Capital Advisors, Axilor Ventures",18.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Software","Bangalore, Karnataka, India"
HighLevel,Private,For Profit,501-1000,Private Equity,2024-04-11,2018-01-01,year,Active,3.0,2.0,0.0,0.0,60000000.0,60000000.0,"General Atlantic, Peakequity",2.0,"Dallas/Fort Worth Metroplex, Southern US","Advertising, Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","Advertising, CRM, E-Commerce Platforms, Marketing","Dallas, Texas, United States"
Carrot Fertility,Private,For Profit,251-500,Series C,2021-08-17,2016-01-01,year,Active,4.0,7.0,75000000.0,75000000.0,114220000.0,114220000.0,"Y Combinator, Tiger Global Management, F-Prime Capital, Founders Fund, OrbiMed",24.0,"San Francisco Bay Area, Silicon Valley, West Coast","Administrative Services, Health Care","Employee Benefits, Fertility, Health Care, Wellness","Menlo Park, California, United States"
Mollie,Private,For Profit,501-1000,Series C,2021-06-22,2004-01-01,year,Active,1.0,3.0,793770158.0,793770158.0,927998906.0,927998906.0,"TCV, EQT, General Atlantic, Blackstone Group, Alkeon Capital",8.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Financial Services, Mobile, Payments, Software","E-Commerce, Financial Services, FinTech, Mobile Payments","Amsterdam, Noord-Holland, The Netherlands"
Zepto,Private,For Profit,1001-5000,Series G,2024-08-14,2021-01-01,year,Active,2.0,9.0,340000000.0,340000000.0,1634250000.0,1634250000.0,"General Catalyst, Nexus Venture Partners, Y Combinator, Kaiser Permanente, Lightspeed Venture Partners",26.0,Asia-Pacific (APAC),"Administrative Services, Apps, Commerce and Shopping, Food and Beverage, Software, Transportation","Apps, Delivery, Delivery Service, E-Commerce, Grocery","Parel, Maharashtra, India"
CashStar,Private,For Profit,11-50,Series D,2015-08-05,2007-12-01,day,Active,2.0,7.0,15000000.0,15000000.0,44000000.0,44000000.0,"Intel Capital, FTV Capital, Allen & Company, Quotient Technology, Passport Capital",8.0,"East Coast, New England, Northeastern US","Commerce and Shopping, Financial Services, Internet Services, Payments, Sales and Marketing","E-Commerce, FinTech, Internet, Loyalty Programs, Payments","Portland, Maine, United States"
Coda,Private,For Profit,101-250,Series D,2023-03-02,2014-01-01,year,Active,2.0,6.0,0.0,0.0,240000000.0,240000000.0,"Khosla Ventures, General Catalyst, Alumni Ventures, New Enterprise Associates, Madrona",21.0,"San Francisco Bay Area, West Coast, Western US","Information Technology, Other, Software","Collaboration, Document Management, Product Management, Productivity Tools, SaaS, Software","San Francisco, California, United States"
AstroTalk,Private,For Profit,101-250,Series A,2024-06-03,2017-10-18,day,Active,1.0,2.0,9422570.0,9422570.0,29044421.0,29044421.0,"Left Lane Capital, Elev8 Venture Partners",2.0,Asia-Pacific (APAC),"Commerce and Shopping, Community and Lifestyle, Information Technology, Media and Entertainment, Professional Services","Consulting, Digital Entertainment, E-Commerce, Information Technology, Lifestyle","Noida, Uttar Pradesh, India"
Mesh,Private,For Profit,11-50,Venture - Series Unknown,2024-08-15,2020-05-01,month,Active,2.0,8.0,0.0,0.0,38000000.0,42500000.0,"Alumni Ventures, Money Forward, Sahin Boydas, Stonks, Evolution Ventures",37.0,"San Francisco Bay Area, West Coast, Western US","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Financial Services, FinTech","San Francisco, California, United States"
Mosyle,Private,For Profit,101-250,Series B,2022-05-04,2012-01-01,year,Active,1.0,5.0,196000000.0,196000000.0,248054487.0,248054487.0,"Insight Partners, StepStone Group, Elephant, Album VC, DGF Investimentos",5.0,"East Coast, Southern US","Consumer Electronics, Education, Hardware, Mobile, Software","Education, Enterprise Software, Mobile Devices, Software","Winter Park, Florida, United States"
ABL Space Systems,Private,For Profit,251-500,Debt Financing,2024-04-14,2017-08-01,month,Active,2.0,6.0,20000000.0,40000000.0,459000000.0,479000000.0,"Fidelity, Leonid Capital Partners, T. Rowe Price, Lockheed Martin Ventures, JAM Fund",8.0,"Greater Los Angeles Area, West Coast, Western US","Hardware, Information Technology, Science and Engineering","Aerospace, Information Technology, Satellite Communication","El Segundo, California, United States"
Zap Energy,Private,For Profit,101-250,Venture - Series Unknown,2024-07-30,2017-01-01,year,Active,3.0,8.0,129997713.0,129997713.0,323997713.0,337797713.0,"US Department of Energy, Breakthrough Energy Ventures, DCVC, Lowercarbon Capital, Shell Ventures",12.0,"Greater Seattle Area, West Coast, Western US","Energy, Sustainability","Clean Energy, CleanTech, Energy, Renewable Energy","Everett, Washington, United States"
Thoughtful AI,Private,For Profit,51-100,Series A,2024-04-19,2020-01-01,month,Active,2.0,4.0,20000000.0,20000000.0,35825000.0,35825000.0,"Drive Capital, TriplePoint Capital",2.0,Southern US,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),"Austin, Texas, United States"
Fenergo,Private,For Profit,501-1000,Private Equity,2021-04-30,2009-01-01,year,Active,1.0,4.0,600000000.0,600000000.0,760431041.0,760431041.0,"Investec, Insight Partners, Astorg, Bridgepoint, DXC Technology",9.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Information Technology, Payments, Software","Enterprise Software, Information Technology, InsurTech, Software, Transaction Processing","Dublin, Dublin, Ireland"
Lark,Private,For Profit,101-250,Series D,2021-10-13,2011-01-01,year,Active,2.0,9.0,100000000.0,100000000.0,180700000.0,195700000.0,"Deerfield, Lightspeed Venture Partners, Franklin Templeton, King River Capital, Golden Seeds",22.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Medical Device, Software, Wellness","Mountain View, California, United States"
Climax Foods,Private,For Profit,11-50,Debt Financing,2024-09-04,2019-01-01,year,Active,1.0,6.0,0.0,0.0,26600000.0,26600000.0,"Canaccord Genuity Group, Index Ventures, Hummingbird Ventures, Global Founders Capital, S2G Ventures",14.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Food and Beverage, Science and Engineering, Software, Sustainability","Biotechnology, Food and Beverage, Food Processing, Machine Learning, Sustainability","Berkeley, California, United States"
Pony.ai,Private,For Profit,1001-5000,Series D,2023-10-24,2016-12-01,month,Active,2.0,10.0,100000000.0,100000000.0,1332000000.0,1332000000.0,"Sequoia Capital, Toyota Motor, Sequoia Capital China, DCM Ventures, Eight Roads Ventures",30.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation","Fremont, California, United States"
Fashor,Private,For Profit,101-250,Series A,2024-08-13,2017-01-01,year,Active,3.0,4.0,5000000.0,5000000.0,6750000.0,6750000.0,"Inflection Point Ventures, Venture Catalysts, 9Unicorns Accelerator Fund, Blume Ventures, JITO Angel Network",8.0,Asia-Pacific (APAC),"Clothing and Apparel, Commerce and Shopping, Design","Apparel, E-Commerce, Fashion","Mumbai, Maharashtra, India"
LetsGetChecked,Private,For Profit,501-1000,Debt Financing,2023-01-01,2015-01-01,year,Active,1.0,6.0,110000000.0,20000000.0,283000000.0,393000000.0,"Qiming Venture Partners, Deerfield, Casdin Capital, Optum Ventures, Elkstone Capital Partners",17.0,"Greater New York Area, East Coast, Northeastern US","Biotechnology, Health Care, Mobile, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Hospital, Medical, mHealth, Wellness","New York, New York, United States"
Rhombus Systems,Private,For Profit,51-100,Series C,2024-07-30,2016-01-01,year,Active,2.0,7.0,45000000.0,45000000.0,95500000.0,112500000.0,"Uncorrelated Ventures, NightDragon, Cota Capital, Bluestone Equity Partners, Silicon Valley Bank",16.0,"West Coast, Western US","Information Technology, Privacy and Security, Software","Information Technology, Security, Software","Sacramento, California, United States"
Perfect Day,Private,For Profit,101-250,Series E,2024-01-05,2014-05-01,day,Active,2.0,8.0,90000000.0,90000000.0,801510000.0,801510000.0,"CPP Investments, K5 Global, SOSV, Horizons Ventures, Temasek Holdings",16.0,"San Francisco Bay Area, West Coast, Western US","Biotechnology, Food and Beverage, Science and Engineering, Sustainability","Bakery, Biotechnology, Food and Beverage, Food Processing, Sustainability","Berkeley, California, United States"
Zenoti,Private,For Profit,501-1000,Series D,2021-06-07,2010-01-01,year,Active,5.0,7.0,80000000.0,80000000.0,331000000.0,331000000.0,"TPG, Accel, Tiger Global Management, Steadview Capital, Advent International",6.0,"Greater Seattle Area, West Coast, Western US","Commerce and Shopping, Information Technology, Internet Services, Payments, Sales and Marketing, Software","Billing, Cloud Data Services, CRM, Enterprise Software, Marketing, Point of Sale, SaaS, Scheduling, Software","Bellevue, Washington, United States"
Open,Private,For Profit,11-50,Series A,2022-06-25,2018-01-01,year,Active,2.0,4.0,0.0,0.0,14390000.0,14390000.0,"Quiet Capital, Founders Fund, Everywhere Ventures, Susa Ventures, Aglaé Ventures",10.0,"San Francisco Bay Area, West Coast, Western US","Health Care, Sports","Fitness, Health Care, Wellness","San Francisco, California, United States"
EarnIn,Private,For Profit,101-250,Series C,2018-12-20,2012-01-01,year,Active,1.0,4.0,125000000.0,125000000.0,190099999.0,190099999.0,"Andreessen Horowitz, Felicis, Coatue, Matrix, Spark Capital",12.0,"San Francisco Bay Area, Silicon Valley, West Coast","Administrative Services, Financial Services, Health Care, Mobile, Payments, Software","Employee Benefits, Financial Services, FinTech, Mobile Payments","Palo Alto, California, United States"
Qventus,Private,For Profit,101-250,Corporate Round,2022-08-09,2012-01-01,year,Active,3.0,8.0,3000000.0,3000000.0,98000000.0,98000000.0,"Y Combinator, Bessemer Venture Partners, THL, Mayfield Fund, Pegasus Tech Ventures",17.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Health Care, Hospital, Machine Learning","Mountain View, California, United States"
Sonar,Private,For Profit,501-1000,Series B,2022-04-26,2008-11-01,month,Active,3.0,2.0,412000000.0,412000000.0,457000000.0,457000000.0,"General Catalyst, Insight Partners, Permira, Advent International",4.0,"Europe, Middle East, and Africa (EMEA)","Information Technology, Privacy and Security, Software","Cyber Security, Developer Tools, Open Source, Software","Geneva, Geneve, Switzerland"
Function Health,Private,For Profit,11-50,Series A,2024-06-25,2021-06-01,month,Active,1.0,4.0,53000000.0,53000000.0,56000000.0,56000000.0,"Andreessen Horowitz, G9 Ventures, Jeff Dean, Spacecadet Ventures, Wisdom Ventures",24.0,"Greater Los Angeles Area, West Coast, Western US",Health Care,Health Care,"Los Angeles, California, United States"
Platform Science,Private,For Profit,251-500,Series D,2024-04-09,2015-01-01,year,Active,2.0,7.0,125000000.0,125000000.0,308000000.0,322700000.0,"Cummins, 8VC, BDT & MSD Partners, Activant Capital, 9Yards Capital",20.0,"Greater San Diego Area, West Coast, Western US","Internet Services, Professional Services, Software, Transportation","Compliance, Fleet Management, Internet of Things, SaaS, Software, Transportation","San Diego, California, United States"
Camino Financial,Private,For Profit,101-250,Debt Financing,2022-04-07,2014-01-01,year,Active,2.0,12.0,150000000.0,0.0,10750000.0,170350000.0,"Collaborative Fund, Impact America Fund, Comcast Ventures, Community Investment Management, DILA Capital",10.0,"Greater Los Angeles Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Other, Science and Engineering, Software","Artificial Intelligence (AI), Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States"
Boom Supersonic,Private,For Profit,101-250,Venture - Series Unknown,2023-03-30,2014-09-01,month,Active,3.0,15.0,0.0,0.0,147496024.0,207496024.0,"Y Combinator, UpHonest Capital, Sahin Boydas, Emerson Collective, 8VC",44.0,"Greater Denver Area, Western US","Manufacturing, Science and Engineering, Transportation","Aerospace, Air Transportation, Manufacturing","Centennial, Colorado, United States"
Chowbus,Private,For Profit,101-250,Venture - Series Unknown,2024-08-12,2015-05-20,day,Active,4.0,8.0,19999987.0,19999987.0,128269987.0,128269987.0,"Left Lane Capital, FJ Labs, Fika Ventures, Meritech Capital Partners, Greycroft",12.0,"Greater Chicago Area, Great Lakes, Midwestern US","Administrative Services, Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Sales and Marketing, Software, Transportation","Delivery, Food Delivery, Internet, Local, Marketplace, Mobile Apps","Chicago, Illinois, United States"
Formlabs,Private,For Profit,501-1000,Series E,2021-05-19,2011-01-01,year,Active,3.0,9.0,150000000.0,150000000.0,250799968.0,253699968.0,"Autodesk, New Enterprise Associates, Foundry Group, Shenzhen Capital Group, SOSV",24.0,"Greater Boston Area, East Coast, New England","Consumer Electronics, Hardware, Manufacturing, Software","3D Printing, 3D Technology, Consumer Electronics, Hardware, Manufacturing","Somerville, Massachusetts, United States"
TravelJoy,Private,For Profit,1-10,Series A,2024-03-01,2016-01-01,year,Active,2.0,3.0,10000000.0,10000000.0,10000000.0,10000000.0,"Acrew Capital, Derrick Li, NFX, Forerunner, Base Ventures",8.0,"San Francisco Bay Area, West Coast, Western US","Internet Services, Other, Software, Travel and Tourism","Professional Services, Social Network, Software, Travel","San Francisco, California, United States"
Morpho Labs,Private,For Profit,11-50,Venture - Series Unknown,2024-08-01,2021-01-01,year,Active,1.0,3.0,50000000.0,50000000.0,68000000.0,68000000.0,"BlockTower Capital, a16z crypto, Robot Ventures, Mirana, Hack VC",97.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Financial Services, Lending","Paris, Ile-de-France, France"
Career Karma,Private,For Profit,101-250,Series B,2022-01-10,2018-04-01,month,Active,3.0,4.0,40000000.0,40000000.0,51937500.0,51937500.0,"SoftBank, Alumni Ventures, Y Combinator, Google Ventures, Lightspeed Venture Partners",63.0,"San Francisco Bay Area, West Coast, Western US","Education, Internet Services, Professional Services","Career Planning, Social Network, Training","San Francisco, California, United States"
ExecOnline,Private,For Profit,251-500,Series D,2021-04-21,2012-01-01,year,Active,4.0,9.0,45000000.0,45000000.0,85926100.0,87718302.0,"NewSpring, Kaplan, Forum Ventures, ABS Capital Partners, Osage Venture Partners",14.0,"Greater New York Area, East Coast, Northeastern US","Education, Software","Corporate Training, E-Learning, EdTech, Education, Software, Training","New York, New York, United States"
ZeroTier,Private,For Profit,11-50,Series A,2024-07-26,2015-01-01,year,Active,1.0,4.0,13500000.0,13500000.0,17240000.0,17240000.0,"Bonfire Ventures, 7percent Ventures, Anorak Ventures, Battery Ventures, First In Ventures",7.0,"Greater Los Angeles Area, West Coast, Western US","Hardware, Information Technology, Internet Services, Mobile, Privacy and Security, Software","Cloud Infrastructure, Information Technology, Mobile, Network Security, Virtualization","Irvine, California, United States"
Acko,Private,For Profit,501-1000,Private Equity,2023-06-07,2016-01-01,year,Active,2.0,9.0,0.0,0.0,458000000.0,458000000.0,"Amazon, CPP Investments, Elevation Capital, Accel, Lightspeed Venture Partners",23.0,Asia-Pacific (APAC),Financial Services,"Auto Insurance, Health Insurance, Insurance, InsurTech","Mumbai, Maharashtra, India"
Litera,Private,For Profit,1001-5000,Private Equity,2021-11-05,2001-01-01,year,Active,2.0,5.0,0.0,0.0,102000000.0,102000000.0,"Hg, K1 Investment Management, Concentric Equity Partners",3.0,"Greater Chicago Area, Great Lakes, Midwestern US","Information Technology, Other, Professional Services, Software","Customer Service, Document Management, Innovation Management, Legal, Legal Tech","Chicago, Illinois, United States"
Cobre,Private,For Profit,101-250,Series B,2024-09-05,2020-05-14,day,Active,2.0,5.0,35000000.0,35000000.0,66200000.0,66200000.0,"Kaszek, Canary, Oak HC/FT, QED Investors, Atlantico",7.0,Latin America,Financial Services,"Financial Services, FinTech","Bogotá, Distrito Especial, Colombia"
FourKites,Private,For Profit,501-1000,Corporate Round,2022-09-27,2014-01-01,year,Active,2.0,8.0,10000000.0,10000000.0,241500000.0,241500000.0,"Mitsui & Co, Qualcomm Ventures, FedEx, Hyde Park Venture Partners, THL",15.0,"Greater Chicago Area, Great Lakes, Midwestern US","Artificial Intelligence (AI), Data and Analytics, Software, Transportation","Enterprise Software, Logistics, Machine Learning, Software, Supply Chain Management","Chicago, Illinois, United States"
Transcarent,Private,For Profit,251-500,Series D,2024-05-02,2020-01-01,year,Active,1.0,4.0,126000000.0,126000000.0,424000000.0,424000000.0,"General Catalyst, Intermountain Healthcare, Threshold, Human Capital, Kleiner Perkins",18.0,"Greater Denver Area, Western US","Health Care, Software","Health Care, Personal Health, Software","Denver, Colorado, United States"
Skyflow,Private,For Profit,101-250,Series B,2024-03-28,2019-03-15,day,Active,2.0,4.0,27000000.0,27000000.0,97000000.0,97000000.0,"Khosla Ventures, Insight Partners, Firestreak Ventures, Gokul Rajaram, MS&AD Ventures",10.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Machine Learning, Privacy, Software","Palo Alto, California, United States"
N26,Private,For Profit,1001-5000,Series E,2021-10-18,2013-01-01,year,Active,2.0,12.0,900050287.0,900050287.0,1719059587.0,1719059587.0,"Tencent, Insight Partners, Dragoneer Investment Group, Earlybird Venture Capital, Plug and Play",24.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Financial Services, Lending and Investments","Banking, Finance, Financial Services, FinTech, InsurTech","Berlin, Berlin, Germany"
Ecom Express,Private,For Profit,10001+,Venture - Series Unknown,2023-06-01,2012-01-01,month,Active,4.0,8.0,1400000.0,1400000.0,525792829.0,525792829.0,"Warburg Pincus, Partners Group, British International Investment, CDC Group, Peepul Capital LLC",5.0,Asia-Pacific (APAC),"Administrative Services, Commerce and Shopping, Transportation","Delivery, E-Commerce, Logistics, Supply Chain Management","New Delhi, Delhi, India"
Glia,Private,For Profit,251-500,Series D,2022-03-21,2012-05-29,day,Active,3.0,6.0,45000000.0,45000000.0,152025000.0,152025000.0,"Insight Partners, (ERA) Entrepreneurs Roundtable Accelerator, Tola Capital, Temerity Capital Partners, Wildcat Capital Management",8.0,"Greater New York Area, East Coast, Northeastern US","Financial Services, Information Technology, Other, Professional Services, Software","Customer Service, Information Technology, InsurTech, Software","New York, New York, United States"
Vuori,Private,For Profit,1001-5000,Venture - Series Unknown,2021-10-13,2013-01-01,year,Active,1.0,2.0,400000000.0,400000000.0,445000000.0,445000000.0,"Norwest Venture Partners, SoftBank Vision Fund",2.0,"Greater San Diego Area, West Coast, Western US","Clothing and Apparel, Commerce and Shopping, Design, Sales and Marketing","Apparel, Brand Marketing, E-Commerce, Fashion, Marketing, Retail, Sales","Encinitas, California, United States"
Oyster,Private,For Profit,501-1000,Series D,2024-09-04,2020-01-01,year,Active,2.0,5.0,59000000.0,59000000.0,283200000.0,283200000.0,"Emergence, Sorenson Capital, PayPal Ventures, Base10 Partners, Stripes",26.0,"East Coast, Southern US","Administrative Services, Financial Services, Professional Services, Software","Employment, Human Resources, InsurTech, SaaS, Software","Charlotte, North Carolina, United States"
Hex Trust,Private,For Profit,101-250,Series B,2022-03-15,2018-03-01,month,Active,3.0,7.0,88000000.0,88000000.0,104000000.0,131000000.0,"Animoca Brands, Ripple, CoinList, Borderless Capital, Terra",40.0,Asia-Pacific (APAC),"Blockchain and Cryptocurrency, Financial Services, Hardware, Information Technology, Internet Services, Lending and Investments, Other, Payments, Software","Banking, Blockchain, Cloud Infrastructure, Cryptocurrency, Financial Services, FinTech, IT Infrastructure","Hong Kong, Hong Kong Island, Hong Kong"
Deliverect,Private,For Profit,251-500,Series D,2022-01-24,2018-04-02,day,Active,4.0,5.0,150000000.0,150000000.0,236799209.0,236799209.0,"Coatue, OMERS Ventures, DST Global, Newion, SmartFin",11.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Food and Beverage, Other, Software, Transportation","E-Commerce, Food Delivery, Restaurants, Software, Subscription Service","Ghent, Oost-Vlaanderen, Belgium"
Keeper Security,Private,For Profit,251-500,Private Equity,2023-05-09,2011-01-01,year,Active,2.0,3.0,0.0,0.0,60250000.0,60250000.0,"Summit Partners, Insight Partners, Darren Guccione",3.0,"Greater Chicago Area, Great Lakes, Midwestern US","Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Identity Management, Security, Software","Chicago, Illinois, United States"
Zenity,Private,For Profit,11-50,Venture - Series Unknown,2024-07-30,2021-01-01,year,Active,2.0,3.0,0.0,0.0,21500000.0,21500000.0,"M12 - Microsoft's Venture Fund, Intel Capital, Vertex Ventures, UpWest, B5 Capital",8.0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Information Technology, Privacy and Security","Cloud Security, Cyber Security","Tel Aviv, Tel Aviv, Israel"
PatSnap,Private,For Profit,1001-5000,Series E,2021-03-16,2007-01-01,year,Active,3.0,6.0,300000000.0,300000000.0,351602006.0,351602006.0,"Tencent, Summit Partners, Sequoia Capital China, Vertex Ventures, Global Brain Corporation",14.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Business Intelligence","Singapore, Central Region, Singapore"
Insitro,Private,For Profit,101-250,Series C,2021-03-15,2018-01-01,year,Active,1.0,3.0,400000000.0,400000000.0,643000000.0,643000000.0,"BlackRock, Andreessen Horowitz, CPP Investments, WuXi AppTec, Google Ventures",19.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Biotechnology, Health Care, Life Science, Machine Learning, Pharmaceutical, Therapeutics","South San Francisco, California, United States"
